date,model,rebalance_number,decision_date,effective_start_date,segment_end_date,rebalance_flag,gross_portfolio_return,transaction_cost,net_portfolio_return,cash_weight_start,risky_weight_sum_start,turnover,portfolio_scaler,ex_ante_portfolio_vol,target_portfolio_vol,equity_curve,running_peak,drawdown,portfolio_log_return,realized_vol_21d
2025-01-17,CAUSAL_XGBOOST,13,2025-01-02,2025-01-03,2025-02-04,0,0.002379024753027491,0.0,0.002379024753027491,0.1693518429626384,0.8306481570373613,0.0,1.0,0.05469885496823673,0.1,1.0957311993316454,1.1075307024845646,-0.010653883568598976,0.002376199353882134,0.08851049842509706
2025-01-21,CAUSAL_XGBOOST,13,2025-01-02,2025-01-03,2025-02-04,0,0.0067615364536197705,0.0,0.0067615364536197705,0.168949906951978,0.8310500930480222,0.0,1.0,0.05469885496823673,0.1,1.103140025779295,1.1075307024845646,-0.003964383737100841,0.006738779788434751,0.09089168432935214
2025-01-22,CAUSAL_XGBOOST,13,2025-01-02,2025-01-03,2025-02-04,0,-0.0004518045691463376,0.0,-0.0004518045691463376,0.1678152182364004,0.8321847817635996,0.0,1.0,0.05469885496823673,0.1,1.1026416220752397,1.1075307024845646,-0.004414397179560825,-0.0004519066635830017,0.0631552299335153
2025-01-23,CAUSAL_XGBOOST,13,2025-01-02,2025-01-03,2025-02-04,0,0.0018446011142205622,0.0,0.0018446011142205622,0.16789107218993468,0.8321089278100653,0.0,1.0,0.05469885496823673,0.1,1.1046755560399057,1.1075307024845646,-0.002577938867296292,0.0018429019268130442,0.061837854370607806
2025-01-24,CAUSAL_XGBOOST,13,2025-01-02,2025-01-03,2025-02-04,0,0.0007286740909300969,0.0,0.0007286740909300969,0.16758195033761866,0.8324180496623812,0.0,1.0,0.05469885496823673,0.1,1.1054805044964757,1.1075307024845646,-0.0018511432536268968,0.0007284087368612993,0.05887636337194614
2025-01-27,CAUSAL_XGBOOST,13,2025-01-02,2025-01-03,2025-02-04,0,-0.0027864111564726538,0.0,-0.0027864111564726538,0.16745992662781592,0.8325400733721839,0.0,1.0,0.05469885496823673,0.1,1.1024001812854838,1.1075307024845646,-0.004632396363885349,-0.002790300426456048,0.06044546251469966
2025-01-28,CAUSAL_XGBOOST,13,2025-01-02,2025-01-03,2025-02-04,0,0.001522593718440298,0.0,0.001522593718440298,0.1679278426420361,0.8320721573579639,0.0,1.0,0.05469885496823673,0.1,1.1040786888767165,1.1075307024845646,-0.0031168559030501086,0.0015214357478880217,0.05875705202696327
2025-01-29,CAUSAL_XGBOOST,13,2025-01-02,2025-01-03,2025-02-04,0,-0.001495398130663492,0.0,-0.001495398130663492,0.16767254547753707,0.8323274545224628,0.0,1.0,0.05469885496823673,0.1,1.1024276516692648,1.1075307024845646,-0.004607593093222562,-0.0014965173543772777,0.05922865305696481
2025-01-30,CAUSAL_XGBOOST,13,2025-01-02,2025-01-03,2025-02-04,0,0.005395521520950867,0.0,0.005395521520950867,0.1679236582021067,0.8320763417978932,0.0,1.0,0.05469885496823673,0.1,1.1083758237891377,1.1083758237891377,0.0,0.00538101784126353,0.05776102075317977
2025-01-31,CAUSAL_XGBOOST,13,2025-01-02,2025-01-03,2025-02-04,0,-0.0043325417571095344,0.0,-0.0043325417571095344,0.16702248479093454,0.8329775152090656,0.0,1.0,0.05469885496823673,0.1,1.1035737392500007,1.1083758237891377,-0.004332541757109398,-0.0043419544131368054,0.05940524858565998
