rank,model,ticker,feature,importance_mean,importance_std,n_repeats,scoring
128,BASELINE_MLP,SPY,VOL__XLV__ewma_vol__span21,0.011251149166003428,0.0012620439463357173,5,neg_root_mean_squared_error
129,BASELINE_MLP,SPY,VOL__HYG__rvol__63d,0.011204293246122269,0.0003003594748181908,5,neg_root_mean_squared_error
130,BASELINE_MLP,SPY,VOL__TLT__ewma_vol__span63,0.011202328201360244,0.0006210800505242247,5,neg_root_mean_squared_error
131,BASELINE_MLP,SPY,VOL__XLV__rvol__63d,0.011022404412767726,0.0007669693580680279,5,neg_root_mean_squared_error
132,BASELINE_MLP,SPY,VOL__IWM__rvol__10d,0.01101463036979618,0.000944065313811053,5,neg_root_mean_squared_error
133,BASELINE_MLP,SPY,MOM__IWM__cum_ret__5d,0.010863763615670789,0.0005440138584886765,5,neg_root_mean_squared_error
134,BASELINE_MLP,SPY,VAL__XLE__hml_beta__63d,0.010457873651667678,0.0007343285231860154,5,neg_root_mean_squared_error
135,BASELINE_MLP,SPY,VOL__XLV__ewma_vol__span63,0.01025182365317558,0.00048390424840773493,5,neg_root_mean_squared_error
136,BASELINE_MLP,SPY,VOL__EEM__ewma_vol__span21,0.010246796974224232,0.0008807119726748912,5,neg_root_mean_squared_error
137,BASELINE_MLP,SPY,VAL__ff_hml,0.010171545886572236,0.0004901401479358084,5,neg_root_mean_squared_error
138,BASELINE_MLP,SPY,VOL__EEM__rvol__63d,0.009989072079011816,0.0007822044854804291,5,neg_root_mean_squared_error
139,BASELINE_MLP,SPY,VOL__XLV__rvol__10d,0.009970370134649907,0.0007689498459881752,5,neg_root_mean_squared_error
140,BASELINE_MLP,SPY,MOM__EEM__cum_ret__5d,0.009949203332663473,0.0007305185041169556,5,neg_root_mean_squared_error
141,BASELINE_MLP,SPY,MOM__XLV__cum_ret__21d,0.009584074576436005,0.0008066601781847505,5,neg_root_mean_squared_error
142,BASELINE_MLP,SPY,VOL__TLT__rvol__63d,0.009550768458963577,0.0008205767312427112,5,neg_root_mean_squared_error
143,BASELINE_MLP,SPY,VAL__ff_mkt_rf,0.0094694740429051,0.00034157661528527104,5,neg_root_mean_squared_error
144,BASELINE_MLP,SPY,VOL__TLT__rvol__10d,0.009346698677444105,0.0003597182465469333,5,neg_root_mean_squared_error
145,BASELINE_MLP,SPY,MOM__DBC__cum_ret__5d,0.008648049407217615,0.0002874406444504879,5,neg_root_mean_squared_error
146,BASELINE_MLP,SPY,VOL__EEM__rvol__21d,0.008465827816688743,0.00048090092538261036,5,neg_root_mean_squared_error
147,BASELINE_MLP,SPY,ML__pca_ret_pc1__252d,0.008402914117019957,0.0004993242891328775,5,neg_root_mean_squared_error
148,BASELINE_MLP,SPY,ML__pca_ret_pc2__252d,0.008290309821253889,0.0006411657842499895,5,neg_root_mean_squared_error
149,BASELINE_MLP,SPY,MOM__EEM__cum_ret__10d,0.008245406999730363,0.0004376394184629623,5,neg_root_mean_squared_error
150,BASELINE_MLP,SPY,VAL__ff_smb,0.007884361841636416,0.0006548844773747625,5,neg_root_mean_squared_error
151,BASELINE_MLP,SPY,ML__pca_ret_pc3__252d,0.0057776265813802245,0.0002646516092609307,5,neg_root_mean_squared_error
