ticker,model_variant,feature,dag_prefix,gain,gain_share,rank_within_ticker,model_path
SPY,CAUSAL_CONSTRAINED,VOL__IWM__rvol__21d,VOL,0.002342462306842208,0.0007587289464398863,74,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
TLT,CAUSAL_CONSTRAINED,VOL__LQD__rvol__63d,VOL,0.11336376518011093,0.13336246181057304,1,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,VOL__TLT__rvol__63d,VOL,0.07546387612819672,0.08877658820024913,2,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,VOL__TLT__rvol__21d,VOL,0.06272836029529572,0.07379437813334858,3,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,VOL__LQD__ewma_vol__span21,VOL,0.05104411020874977,0.06004888940971228,4,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,VOL__LQD__rvol__10d,VOL,0.04069870337843895,0.04787843158193869,5,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,VOL__XLV__ewma_vol__span21,VOL,0.032776109874248505,0.03855819974273842,6,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,MACRO__t10y2y,MACRO,0.030186645686626434,0.035511923727797254,7,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,VOL__LQD__rvol__21d,VOL,0.02672364003956318,0.03143800330337844,8,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,VOL__XLV__rvol__10d,VOL,0.02470068447291851,0.029058174668783403,9,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,VOL__QQQ__ewma_vol__span21,VOL,0.018905093893408775,0.022240173995450196,10,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,MACRO__dtb3,MACRO,0.01678798533976078,0.019749582683613157,11,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,MACRO__vixcls,MACRO,0.01665293425321579,0.019590707002806178,12,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,VOL__IWM__rvol__63d,VOL,0.016410907730460167,0.01930598416524992,13,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,VOL__GLD__rvol__63d,VOL,0.0148727772757411,0.017496509473744707,14,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
TLT,CAUSAL_CONSTRAINED,VOL__EEM__rvol__63d,VOL,0.014240656048059464,0.01675287465399072,15,/content/riskml-capstone/reports/models/notebook04_xgb_causal_TLT.json
