model,rebalance_number,decision_date,effective_start_date,segment_end_date,n_obs_total_segment,n_obs_regression,min_obs_pass,alpha,beta_mkt_rf,beta_smb,beta_hml,factor_exposure_entropy,factor_exposure_entropy_normalized,r_squared
CAUSAL_XGBOOST,11,2024-10-30,2024-10-31,2024-12-02,21,21,True,-0.00014304935436424782,0.22843943665337674,0.13922411300578036,-0.12330484814329828,1.0603883937569663,0.9652071114574152,0.6641391704443673
CAUSAL_XGBOOST,12,2024-12-02,2024-12-03,2025-01-02,21,21,True,0.0001114785412771501,0.4708566768860114,0.18729342407042424,0.22524388378585097,1.0126813574901747,0.9217822956612725,0.9305232688433496
CAUSAL_XGBOOST,13,2025-01-02,2025-01-03,2025-02-04,21,21,True,0.0006195119782786055,0.35452096139438416,0.1813073317032798,0.10801639953408142,0.9849137717622687,0.8965071499030088,0.8451074921929935
CAUSAL_XGBOOST,14,2025-02-04,2025-02-05,2025-03-06,21,21,True,0.0009333453959046018,0.33555015741237293,0.13076400351429546,0.041161948223404965,0.8266973872855361,0.7524923904572134,0.8485691525446962
CAUSAL_XGBOOST,15,2025-03-06,2025-03-07,2025-04-04,21,21,True,-9.710184010092743e-05,0.34455955268384386,-0.09084772545409497,0.14685123540596165,0.9477399006300335,0.8626700341928774,0.9603804352344857
CAUSAL_XGBOOST,16,2025-04-04,2025-04-07,2025-05-06,21,21,True,-1.879374069988661e-05,0.14835378369232693,0.13634104666811345,0.02279415281145511,0.9051329620855948,0.8238875274032502,0.9043118659726516
CAUSAL_XGBOOST,17,2025-05-06,2025-05-07,2025-06-05,21,21,True,3.065112574928029e-05,0.22222573595413392,0.026486679832396328,0.10925542295319556,0.8508346209901587,0.7744630473974203,0.718027872011761
CAUSAL_XGBOOST,18,2025-06-05,2025-06-06,2025-07-08,21,21,True,-1.83529859336651e-05,0.23736168301276073,0.006280670071709586,0.09381842847973026,0.6775215411702147,0.6167066836577991,0.6113501164505195
CAUSAL_XGBOOST,19,2025-07-08,2025-07-09,2025-08-06,21,21,True,0.00018579089273693298,0.2666672373068862,0.12011384644191402,0.09537685248560537,0.9943404633428661,0.9050876943569816,0.7398430034238417
CAUSAL_XGBOOST,20,2025-08-06,2025-08-07,2025-09-05,21,21,True,0.00015548044965366857,0.27159500755373017,0.12979575016519876,0.009970709114553273,0.7282292211314243,0.6628628030497318,0.8641785932326435
CAUSAL_XGBOOST,21,2025-09-05,2025-09-08,2025-10-06,21,21,True,0.0006802373683954155,0.39882503883303755,0.09174672295666755,-0.015320942860297988,0.6030107813919858,0.548884067301886,0.66519845096362
CAUSAL_XGBOOST,22,2025-10-06,2025-10-07,2025-11-05,21,21,True,-0.0002201102712552965,0.33217114946367243,0.11296820492321386,0.054481973748686685,0.8491993496007382,0.7729745592325892,0.7917516584927206
